order_id,customer_id,order_ts,channel,traffic_source,campaign,payment_method,shipping_method,order_status,seller_id
O700238,C107279,2025-02-27 10:14:28,android,email,none,card,standard,returned,S50615
O700239,C104973,2025-08-23 20:31:54,ios,paid_social,holiday_push,paypal,standard,returned,S50572
O700240,C107647,2025-03-07 15:41:47,ios,direct,none,google_pay,standard,completed,
O700241,C105360,2025-06-27 12:47:18,android,referral,holiday_push,paypal,expedited,completed,S50998
O700242,C106608,2025-01-17 04:28:43,web,paid_social,always_on,card,expedited,completed,
O700243,C106818,2025-10-16 23:00:34,web,paid_social,always_on,card,standard,completed,
O700244,C107789,2025-12-17 22:09:26,web,organic,spring_sale,google_pay,standard,completed,S50570
O700245,C101631,2025-12-11 07:21:29,android,referral,summer_splash,card,expedited,completed,S51092
O700246,C101820,2025-07-23 23:55:54,web,direct,none,card,standard,completed,S50786
O700247,C101052,2025-10-07 11:25:21,android,paid_social,spring_sale,apple_pay,standard,completed,S51171
O700248,C105220,2025-12-29 19:43:51,web,organic,always_on,klarna,standard,completed,S50020
O700249,C104504,2025-06-16 06:15:07,web,organic,none,paypal,standard,completed,S50901
O700250,C104187,2025-05-29 11:41:55,android,email,fall_event,card,expedited,completed,S50923
O700251,C100795,2025-07-25 08:54:05,web,direct,fall_event,card,standard,completed,S50081
O700252,C103110,2025-07-26 02:01:50,web,organic,none,card,expedited,completed,S50873
O700253,C100157,2025-09-21 13:08:40,ios,referral,holiday_push,card,overnight,completed,
O700254,C101479,2025-12-11 09:54:14,web,email,always_on,apple_pay,standard,completed,S51194
O700255,C100063,2025-09-20 17:46:38,web,referral,none,paypal,standard,completed,
O700256,C106889,2025-02-24 22:13:20,ios,organic,none,google_pay,standard,completed,
O700257,C100840,2025-09-19 01:09:52,android,direct,summer_splash,card,standard,completed,S50177
O700258,C100879,2025-07-26 15:53:30,web,organic,spring_sale,apple_pay,standard,completed,
O700259,C101493,2025-06-26 12:28:36,ios,organic,always_on,klarna,standard,completed,S50895
O700260,C101388,2025-08-29 03:28:55,android,referral,none,card,standard,completed,
O700261,C101538,2025-04-14 10:18:46,web,direct,none,paypal,standard,completed,S50913
O700262,C102495,2025-12-29 09:12:34,ios,email,none,card,expedited,completed,
O700263,C102670,2025-09-19 19:46:51,android,direct,spring_sale,klarna,standard,completed,
O700264,C100441,2025-10-07 15:08:18,web,direct,always_on,card,standard,completed,
O700265,C101354,2025-06-23 08:40:41,ios,referral,fall_event,card,standard,returned,
O700266,C101935,2025-11-07 08:29:12,web,paid_search,none,card,expedited,completed,S51144
O700267,C106324,2025-02-27 18:55:27,web,direct,fall_event,paypal,expedited,completed,
O700268,C100928,2025-09-06 07:12:45,ios,paid_search,none,google_pay,expedited,returned,S50808
O700269,C107635,2025-05-17 17:17:24,ios,email,always_on,card,expedited,completed,
O700270,C105072,2025-07-02 16:56:20,ios,organic,none,card,standard,completed,
O700271,C107626,2025-07-12 21:26:29,ios,referral,holiday_push,google_pay,expedited,completed,S50418
O700272,C107694,2025-06-19 02:12:05,ios,paid_search,spring_sale,klarna,expedited,returned,
O700273,C101769,2025-06-22 06:28:22,android,paid_search,none,card,standard,completed,
O700274,C102215,2025-11-20 20:39:08,web,paid_social,always_on,paypal,standard,completed,S50909
O700275,C103368,2025-09-09 13:43:01,web,paid_social,fall_event,klarna,expedited,completed,
O700276,C107128,2025-01-26 01:09:39,ios,direct,spring_sale,card,expedited,completed,S50212
O700277,C103603,2025-03-05 18:39:44,ios,organic,always_on,card,expedited,completed,
O700278,C105257,2025-11-09 06:28:05,web,paid_social,none,apple_pay,standard,completed,S50697
O700279,C102243,2025-12-18 02:11:52,ios,organic,none,paypal,standard,completed,
O700280,C106380,2025-09-17 15:52:11,web,paid_social,none,apple_pay,expedited,completed,S50948
O700281,C101597,2025-12-22 23:52:28,android,email,none,apple_pay,standard,completed,
O700282,C103592,2025-10-23 15:26:00,android,email,none,apple_pay,standard,completed,
O700283,C104101,2025-11-23 01:27:21,web,paid_social,none,apple_pay,standard,returned,
O700284,C107630,2025-07-26 18:14:54,web,direct,none,paypal,standard,completed,S50753
O700285,C104751,2025-03-15 09:29:25,ios,organic,summer_splash,card,standard,returned,S50943
O700286,C105402,2025-08-06 15:21:37,web,organic,none,apple_pay,standard,completed,S51028
O700287,C102589,2025-09-27 19:13:49,ios,referral,none,card,standard,completed,
O700288,C106516,2025-11-10 07:23:36,web,email,always_on,card,standard,completed,
O700289,C101723,2025-10-13 15:47:23,android,direct,fall_event,card,overnight,completed,S50482
O700290,C100933,2025-10-24 21:58:39,ios,referral,spring_sale,card,standard,returned,S50427
O700291,C102868,2025-02-25 19:13:45,ios,email,holiday_push,apple_pay,standard,completed,S51188
O700292,C101494,2025-05-16 17:00:24,web,paid_search,holiday_push,card,standard,completed,
O700293,C105791,2025-06-03 08:15:03,ios,direct,spring_sale,paypal,standard,completed,
O700294,C102193,2025-11-27 11:23:47,ios,organic,always_on,google_pay,standard,completed,S50457
O700295,C106851,2025-05-27 11:42:31,web,organic,spring_sale,card,standard,completed,S51175
O700296,C105983,2025-12-12 03:04:45,android,organic,always_on,card,standard,returned,S50744
O700297,C107149,2025-02-06 05:38:28,android,organic,holiday_push,google_pay,standard,completed,
O700298,C102098,2025-06-13 12:57:31,android,paid_social,none,card,standard,completed,
O700299,C106337,2025-10-20 20:55:13,web,paid_search,none,card,standard,completed,S50162
O700300,C103945,2025-01-07 12:42:53,ios,organic,none,paypal,standard,completed,
O700301,C101148,2025-09-23 17:38:48,web,email,summer_splash,paypal,standard,completed,S50769
O700302,C106597,2025-09-23 21:13:35,ios,referral,none,paypal,standard,completed,S50383
O700303,C100427,2025-10-14 06:54:35,ios,paid_search,none,paypal,standard,completed,S51081
O700304,C107875,2025-01-08 21:38:07,android,direct,always_on,card,expedited,completed,
O700305,C105630,2025-07-10 09:13:45,ios,paid_social,fall_event,card,standard,completed,
O700306,C106881,2025-12-11 08:03:09,android,paid_social,none,card,standard,completed,
O700307,C103970,2025-10-03 20:54:59,web,referral,none,apple_pay,standard,cancelled,S50545
O700308,C106403,2025-05-20 18:05:54,web,direct,fall_event,apple_pay,expedited,completed,S50152
O700309,C107014,2025-05-08 00:16:14,ios,paid_social,summer_splash,klarna,standard,cancelled,S50026
O700310,C104536,2025-01-21 01:08:32,web,direct,none,card,standard,completed,S50237
O700311,C107478,2025-02-17 11:25:52,web,direct,always_on,paypal,overnight,completed,S50101
O700312,C105486,2025-11-21 04:09:21,android,referral,holiday_push,card,standard,returned,S50190
O700313,C103486,2025-08-10 13:07:41,ios,referral,fall_event,google_pay,standard,completed,
O700314,C106932,2025-06-08 22:21:05,ios,direct,always_on,card,standard,completed,S50446
O700315,C102955,2025-02-12 22:56:08,web,direct,none,paypal,standard,completed,
O700316,C102512,2025-08-22 21:01:52,android,referral,none,card,expedited,completed,S50778
O700317,C101314,2025-03-29 12:36:22,ios,direct,fall_event,card,overnight,cancelled,S50441
O700318,C101599,2025-11-09 17:21:18,web,email,holiday_push,paypal,standard,completed,
O700319,C100707,2025-09-17 01:22:05,ios,direct,summer_splash,card,standard,completed,S50264
O700320,C103698,2025-01-25 23:40:07,ios,paid_social,none,card,expedited,completed,S50715
O700321,C102447,2025-02-09 12:46:07,android,email,spring_sale,card,standard,returned,
O700322,C104359,2025-04-07 19:45:24,web,email,none,card,standard,cancelled,S50159
O700323,C103093,2025-12-10 00:05:38,web,organic,spring_sale,paypal,standard,completed,S50472
O700324,C101959,2025-03-13 16:38:17,web,referral,fall_event,card,standard,completed,S50425
