order_item_id,order_id,product_id,quantity,list_price,discount_pct,unit_price
O700056-3,O700056,P10281,1,23.78,0.15,20.44
O700057-1,O700057,P10120,2,11.67,0.2,9.22
O700057-2,O700057,P10149,1,11.25,0.0,11.47
O700057-3,O700057,P10038,1,18.36,0.2,14.46
O700058-1,O700058,P10245,2,44.07,0.0,43.88
O700058-2,O700058,P10377,1,19.18,0.0,18.9
O700059-1,O700059,P10351,1,16.71,0.0,16.64
O700060-1,O700060,P10161,3,24.51,0.0,24.61
O700061-1,O700061,P10446,3,14.18,0.0,14.09
O700062-1,O700062,P10230,2,37.06,0.0,36.96
O700062-2,O700062,P10241,1,21.38,0.0,21.79
O700062-3,O700062,P10310,1,23.18,0.0,23.52
O700062-4,O700062,P10107,1,13.62,0.0,13.81
O700063-1,O700063,P10125,1,46.62,0.0,47.4
O700063-2,O700063,P10382,2,28.61,0.0,28.24
O700063-3,O700063,P10375,1,10.63,0.0,10.46
O700063-4,O700063,P10172,3,29.83,0.0,30.07
O700064-1,O700064,P10359,2,17.97,0.0,17.61
O700065-1,O700065,P10411,2,19.63,0.0,19.39
O700066-1,O700066,P10342,2,58.11,0.1,53.13
O700066-2,O700066,P10259,1,20.63,0.0,20.55
O700066-3,O700066,P10099,2,24.92,0.05,24.01
O700067-1,O700067,P10312,2,19.72,0.0,19.92
O700068-1,O700068,P10086,1,34.5,0.0,34.83
O700069-1,O700069,P10001,2,74.17,0.0,75.51
O700070-1,O700070,P10262,1,22.71,0.0,22.47
O700070-2,O700070,P10158,2,9.36,0.0,9.49
O700070-3,O700070,P10003,2,11.98,0.0,11.9
O700070-4,O700070,P10356,1,23.78,0.0,23.7
O700071-1,O700071,P10376,2,28.54,0.0,28.11
O700072-1,O700072,P10305,1,13.74,0.0,14.01
O700072-2,O700072,P10318,2,30.55,0.0,30.0
O700072-3,O700072,P10442,1,18.07,0.0,17.98
O700072-4,O700072,P10033,1,10.19,0.0,10.16
O700073-1,O700073,P10291,3,25.29,0.0,25.68
O700074-1,O700074,P10311,1,49.66,0.0,49.92
O700075-1,O700075,P10411,1,19.63,0.0,19.38
O700076-1,O700076,P10276,1,17.07,0.0,17.27
O700076-2,O700076,P10253,1,44.91,0.0,44.75
O700077-1,O700077,P10326,2,10.41,0.0,10.52
O700077-2,O700077,P10344,3,17.08,0.0,16.94
O700077-3,O700077,P10041,2,36.05,0.0,36.14
O700078-1,O700078,P10351,1,16.71,0.0,16.83
O700079-1,O700079,P10096,1,14.09,0.0,13.89
O700080-1,O700080,P10404,1,16.84,0.0,16.98
O700081-1,O700081,P10209,1,28.68,0.2,22.77
O700081-2,O700081,P10181,1,9.23,0.05,8.75
O700082-1,O700082,P10029,2,20.14,0.0,20.18
O700083-1,O700083,P10435,1,19.26,0.05,18.42
O700084-1,O700084,P10139,1,6.18,0.1,5.49
O700085-1,O700085,P10412,1,18.33,0.15,15.33
O700086-1,O700086,P10210,1,26.49,0.0,26.37
O700086-2,O700086,P10403,3,38.61,0.15,32.9
O700086-3,O700086,P10264,2,23.34,0.0,23.66
O700087-1,O700087,P10188,1,18.74,0.0,18.66
O700088-1,O700088,P10086,2,34.5,0.05,32.15
O700089-1,O700089,P10390,2,34.56,0.0,34.88
O700090-1,O700090,P10239,3,11.41,0.1,10.11
O700091-1,O700091,P10065,1,25.54,0.0,25.17
O700092-1,O700092,P10234,3,36.88,0.0,36.71
O700092-2,O700092,P10396,1,15.85,0.0,15.94
O700093-1,O700093,P10442,1,18.07,0.0,18.23
O700093-2,O700093,P10116,1,32.39,0.0,31.82
O700093-3,O700093,P10070,1,27.84,0.0,27.36
O700093-4,O700093,P10008,1,57.83,0.0,56.94
O700094-1,O700094,P10434,1,29.79,0.0,29.99
O700095-1,O700095,P10333,1,20.96,0.0,21.03
O700096-1,O700096,P10353,2,18.13,0.15,15.48
O700096-2,O700096,P10194,1,12.98,0.15,11.01
O700096-3,O700096,P10206,1,17.37,0.05,16.44
O700097-1,O700097,P10048,1,19.69,0.0,19.99
O700098-1,O700098,P10107,1,13.62,0.2,10.81
O700098-2,O700098,P10108,1,28.87,0.0,29.42
O700098-3,O700098,P10038,3,18.36,0.15,15.75
O700099-1,O700099,P10367,1,18.86,0.2,14.83
O700099-2,O700099,P10056,1,17.84,0.0,17.87
O700100-1,O700100,P10066,1,31.97,0.0,32.44
O700101-1,O700101,P10282,1,42.74,0.0,43.36
O700102-1,O700102,P10030,1,30.33,0.0,30.31
O700103-1,O700103,P10275,2,8.93,0.15,7.66
O700104-1,O700104,P10301,1,13.47,0.0,13.72
O700105-1,O700105,P10266,1,20.39,0.0,20.32
O700105-2,O700105,P10145,1,43.64,0.0,43.14
O700105-3,O700105,P10321,2,10.71,0.0,10.77
O700106-1,O700106,P10323,1,45.18,0.0,44.89
O700106-2,O700106,P10107,1,13.62,0.0,13.36
O700106-3,O700106,P10248,1,15.91,0.0,16.09
O700107-1,O700107,P10132,1,15.45,0.0,15.37
O700107-2,O700107,P10403,1,38.61,0.0,38.81
O700108-1,O700108,P10383,1,18.39,0.1,16.42
O700108-2,O700108,P10258,2,68.19,0.05,63.55
O700109-1,O700109,P10448,2,8.7,0.0,8.7
O700109-2,O700109,P10214,1,12.7,0.0,12.68
O700109-3,O700109,P10118,1,19.26,0.15,16.07
O700109-4,O700109,P10293,3,4.99,0.05,4.83
O700110-1,O700110,P10290,1,21.55,0.0,21.66
O700111-1,O700111,P10406,2,27.63,0.0,27.27
O700111-2,O700111,P10275,1,8.93,0.0,8.93
O700112-1,O700112,P10161,1,24.51,0.0,24.48
O700112-2,O700112,P10295,1,8.09,0.15,6.88
O700112-3,O700112,P10234,1,36.88,0.05,35.12
O700113-1,O700113,P10105,1,35.14,0.0,34.93
O700114-1,O700114,P10268,2,13.82,0.0,13.76
O700115-1,O700115,P10039,1,12.34,0.15,10.59
O700115-2,O700115,P10017,1,9.79,0.1,8.77
O700116-1,O700116,P10135,1,13.89,0.05,13.39
O700116-2,O700116,P10203,2,21.44,0.1,19.67
O700117-1,O700117,P10090,2,29.7,0.0,29.91
O700117-2,O700117,P10248,1,15.91,0.0,16.08
O700118-1,O700118,P10149,3,11.25,0.0,11.37
O700119-1,O700119,P10250,1,46.32,0.0,46.65
O700120-1,O700120,P10299,1,15.99,0.0,15.82
O700121-1,O700121,P10248,1,15.91,0.1,14.15
O700121-2,O700121,P10209,1,28.68,0.0,29.11
O700122-1,O700122,P10421,1,25.02,0.05,23.83
O700123-1,O700123,P10379,2,25.46,0.0,25.57
O700123-2,O700123,P10373,2,4.99,0.0,4.94
O700123-3,O700123,P10202,2,18.28,0.0,18.55
O700124-1,O700124,P10257,1,30.24,0.0,30.74
O700125-1,O700125,P10370,1,38.12,0.0,37.58
O700126-1,O700126,P10075,2,20.43,0.0,20.84
O700127-1,O700127,P10185,1,28.07,0.0,28.26
O700128-1,O700128,P10297,1,5.2,0.0,5.27
O700129-1,O700129,P10186,2,26.03,0.0,26.32
O700130-1,O700130,P10184,1,18.48,0.0,18.57
O700130-2,O700130,P10038,3,18.36,0.0,18.43
O700131-1,O700131,P10351,1,16.71,0.0,16.57
O700131-2,O700131,P10230,1,37.06,0.0,37.41
O700132-1,O700132,P10139,1,6.18,0.05,5.78
O700132-2,O700132,P10095,1,16.68,0.1,15.1
O700133-1,O700133,P10232,1,16.33,0.1,14.79
O700134-1,O700134,P10165,1,8.69,0.0,8.59
O700135-1,O700135,P10033,1,10.19,0.15,8.77
O700135-2,O700135,P10388,1,12.77,0.1,11.55
O700136-1,O700136,P10278,3,23.16,0.2,18.67
O700136-2,O700136,P10075,1,20.43,0.0,20.46
O700137-1,O700137,P10285,1,10.52,0.0,10.71
O700138-1,O700138,P10373,1,4.99,0.0,4.91
O700139-1,O700139,P10123,1,49.83,0.05,46.43
O700140-1,O700140,P10122,2,8.16,0.0,8.05
O700141-1,O700141,P10139,1,6.18,0.0,6.16
O700141-2,O700141,P10313,1,17.48,0.0,17.56
O700141-3,O700141,P10054,1,19.69,0.0,20.0
O700142-1,O700142,P10311,1,49.66,0.05,46.88
O700142-2,O700142,P10449,1,14.23,0.0,14.14
O700142-3,O700142,P10409,1,27.57,0.0,27.94
O700143-1,O700143,P10144,1,40.35,0.0,40.22
O700144-1,O700144,P10440,1,12.38,0.0,12.59
O700144-2,O700144,P10274,1,16.28,0.0,16.39
O700144-3,O700144,P10316,1,24.62,0.0,24.99
O700145-1,O700145,P10354,1,15.68,0.15,13.28
O700146-1,O700146,P10099,1,24.92,0.0,25.34
O700147-1,O700147,P10374,1,19.28,0.15,16.4
O700147-2,O700147,P10166,1,16.56,0.1,14.95
O700148-1,O700148,P10447,1,20.73,0.0,20.65
O700148-2,O700148,P10431,1,17.97,0.0,17.83
O700149-1,O700149,P10404,1,16.84,0.0,16.75
O700149-2,O700149,P10236,1,27.04,0.0,27.51
O700149-3,O700149,P10409,2,27.57,0.0,27.07
O700149-4,O700149,P10231,2,11.41,0.0,11.48
O700149-5,O700149,P10226,1,24.54,0.0,24.65
O700150-1,O700150,P10249,1,22.38,0.0,22.65
O700151-1,O700151,P10300,2,21.73,0.05,20.3
O700152-1,O700152,P10292,1,22.85,0.0,23.31
O700153-1,O700153,P10278,1,23.16,0.0,22.82
O700154-1,O700154,P10175,1,26.03,0.0,26.47
O700154-2,O700154,P10106,1,47.59,0.0,47.71
O700154-3,O700154,P10405,1,14.8,0.0,14.59
O700155-1,O700155,P10187,1,16.43,0.0,16.47
O700156-1,O700156,P10384,3,6.79,0.0,6.85
O700157-1,O700157,P10222,1,63.32,0.05,61.26
O700157-2,O700157,P10034,3,18.93,0.2,15.12
O700158-1,O700158,P10285,1,10.52,0.0,10.48
O700158-2,O700158,P10295,1,8.09,0.0,8.22
O700158-3,O700158,P10394,1,11.97,0.0,12.11
O700159-1,O700159,P10399,1,42.17,0.15,35.88
O700160-1,O700160,P10115,1,10.53,0.0,10.59
O700161-1,O700161,P10192,1,31.44,0.0,31.58
O700162-1,O700162,P10196,2,63.94,0.1,58.58
O700163-1,O700163,P10176,2,24.38,0.0,24.61
O700164-1,O700164,P10157,1,9.4,0.0,9.33
O700165-1,O700165,P10087,1,30.75,0.0,30.94
O700165-2,O700165,P10233,1,17.36,0.0,17.44
O700166-1,O700166,P10353,1,18.13,0.1,16.02
O700167-1,O700167,P10229,1,24.01,0.0,23.87
O700167-2,O700167,P10079,1,22.95,0.0,22.92
O700167-3,O700167,P10272,1,29.91,0.0,29.52
O700168-1,O700168,P10179,1,94.48,0.15,80.57
O700168-2,O700168,P10087,3,30.75,0.2,24.43
O700168-3,O700168,P10306,1,31.14,0.0,31.43
O700168-4,O700168,P10155,1,6.92,0.1,6.18
O700169-1,O700169,P10394,1,11.97,0.0,11.99
O700169-2,O700169,P10159,3,5.7,0.0,5.69
O700169-3,O700169,P10298,1,18.45,0.0,18.57
O700170-1,O700170,P10143,1,32.46,0.1,29.07
O700171-1,O700171,P10312,1,19.72,0.15,16.46
O700172-1,O700172,P10016,2,15.74,0.0,15.49
O700172-2,O700172,P10072,2,15.73,0.0,15.62
O700173-1,O700173,P10089,1,14.4,0.0,14.5
O700173-2,O700173,P10144,1,40.35,0.0,40.87
O700174-1,O700174,P10046,1,83.95,0.0,82.6
O700175-1,O700175,P10330,1,30.2,0.2,23.82
O700175-2,O700175,P10281,1,23.78,0.15,20.07
O700175-3,O700175,P10066,1,31.97,0.0,31.39
O700176-1,O700176,P10216,1,21.08,0.0,21.17
O700177-1,O700177,P10137,1,12.7,0.0,12.88
O700177-2,O700177,P10185,1,28.07,0.0,27.92
O700177-3,O700177,P10266,1,20.39,0.0,20.73
O700178-1,O700178,P10095,1,16.68,0.0,16.96
O700178-2,O700178,P10208,1,25.39,0.0,25.46
O700178-3,O700178,P10426,1,24.45,0.0,24.39
O700179-1,O700179,P10001,3,74.17,0.0,75.22
O700179-2,O700179,P10296,3,31.99,0.0,32.19
O700180-1,O700180,P10298,1,18.45,0.0,18.18
O700180-2,O700180,P10069,1,9.67,0.0,9.8
O700181-1,O700181,P10063,1,16.11,0.0,15.9
O700182-1,O700182,P10171,3,19.56,0.0,19.54
O700182-2,O700182,P10360,1,12.59,0.0,12.47
O700183-1,O700183,P10043,1,25.55,0.0,25.59
O700183-2,O700183,P10242,2,19.38,0.0,19.4
O700184-1,O700184,P10242,1,19.38,0.2,15.61
O700185-1,O700185,P10074,1,40.42,0.0,40.4
O700185-2,O700185,P10308,1,48.65,0.0,48.16
O700186-1,O700186,P10092,1,17.94,0.0,17.95
O700186-2,O700186,P10337,2,31.67,0.05,29.62
O700186-3,O700186,P10251,2,8.95,0.2,7.24
O700186-4,O700186,P10050,2,16.64,0.15,14.19
O700187-1,O700187,P10095,1,16.68,0.2,13.15
O700187-2,O700187,P10391,1,22.11,0.0,22.29
O700187-3,O700187,P10276,2,17.07,0.05,16.4
O700188-1,O700188,P10087,1,30.75,0.0,31.13
O700189-1,O700189,P10022,1,24.36,0.0,24.79
O700190-1,O700190,P10078,2,42.25,0.0,41.62
O700191-1,O700191,P10352,1,17.32,0.2,13.91
O700191-2,O700191,P10419,1,29.63,0.2,24.01
O700192-1,O700192,P10431,1,17.97,0.0,18.26
O700193-1,O700193,P10261,1,15.72,0.2,12.73
O700194-1,O700194,P10039,1,12.34,0.0,12.39
O700195-1,O700195,P10346,1,19.54,0.0,19.74
O700195-2,O700195,P10345,1,34.0,0.0,33.9
O700195-3,O700195,P10096,3,14.09,0.0,14.07
O700196-1,O700196,P10051,2,9.9,0.0,9.92
O700197-1,O700197,P10138,1,21.2,0.0,20.88
O700197-2,O700197,P10418,2,7.96,0.0,7.98
O700198-1,O700198,P10100,1,22.59,0.0,22.65
O700198-2,O700198,P10320,3,62.18,0.0,63.02
O700199-1,O700199,P10085,1,39.84,0.0,40.03
O700200-1,O700200,P10241,2,21.38,0.0,21.8
O700200-2,O700200,P10148,1,32.94,0.0,32.76
O700201-1,O700201,P10259,1,20.63,0.2,16.46
O700202-1,O700202,P10443,1,39.42,0.05,37.28
O700203-1,O700203,P10398,3,8.87,0.0,8.86
O700204-1,O700204,P10443,1,39.42,0.0,39.99
O700204-2,O700204,P10090,1,29.7,0.0,29.81
O700205-1,O700205,P10380,3,12.53,0.05,12.01
O700205-2,O700205,P10081,1,7.71,0.1,7.05
O700205-3,O700205,P10418,1,7.96,0.1,7.08
O700206-1,O700206,P10252,1,12.33,0.0,12.3
O700207-1,O700207,P10075,1,20.43,0.1,18.35
O700208-1,O700208,P10384,1,6.79,0.2,5.52
O700209-1,O700209,P10403,1,38.61,0.0,38.48
O700209-2,O700209,P10280,1,29.5,0.0,29.51
O700210-1,O700210,P10391,1,22.11,0.2,17.73
O700211-1,O700211,P10271,1,28.22,0.0,28.19
O700212-1,O700212,P10246,2,39.36,0.0,39.77
O700212-2,O700212,P10119,1,14.38,0.0,14.39
O700212-3,O700212,P10170,1,12.04,0.0,12.06
O700213-1,O700213,P10438,1,28.3,0.0,28.05
O700214-1,O700214,P10372,3,35.35,0.2,28.13
O700214-2,O700214,P10313,1,17.48,0.15,14.6
O700215-1,O700215,P10159,1,5.7,0.15,4.94
O700216-1,O700216,P10399,1,42.17,0.05,40.43
O700217-1,O700217,P10235,1,14.67,0.0,14.62
O700218-1,O700218,P10229,1,24.01,0.1,21.6
O700218-2,O700218,P10211,1,36.36,0.0,35.66
O700219-1,O700219,P10322,1,39.49,0.0,39.94
O700220-1,O700220,P10051,1,9.9,0.0,9.76
O700220-2,O700220,P10071,1,16.49,0.0,16.24
O700220-3,O700220,P10359,1,17.97,0.0,18.21
O700221-1,O700221,P10375,1,10.63,0.0,10.5
O700221-2,O700221,P10405,2,14.8,0.0,14.96
O700221-3,O700221,P10221,1,53.27,0.0,52.44
O700222-1,O700222,P10378,2,14.5,0.05,13.55
O700222-2,O700222,P10265,2,10.47,0.05,10.08
O700223-1,O700223,P10128,1,37.56,0.05,35.32
O700224-1,O700224,P10001,1,74.17,0.05,69.31
O700225-1,O700225,P10265,2,10.47,0.0,10.34
O700226-1,O700226,P10197,1,51.01,0.15,43.27
O700226-2,O700226,P10428,1,29.42,0.15,24.89
O700227-1,O700227,P10212,1,19.44,0.0,19.83
O700228-1,O700228,P10417,2,31.52,0.0,31.46
O700229-1,O700229,P10148,3,32.94,0.0,33.19
O700229-2,O700229,P10175,1,26.03,0.0,26.18
O700230-1,O700230,P10103,1,51.16,0.0,51.27
O700231-1,O700231,P10268,1,13.82,0.0,13.95
O700231-2,O700231,P10212,2,19.44,0.0,19.65
O700232-1,O700232,P10103,1,51.16,0.0,51.44
O700233-1,O700233,P10395,1,9.15,0.0,9.2
O700234-1,O700234,P10172,1,29.83,0.0,30.16
O700234-2,O700234,P10192,1,31.44,0.0,31.57
O700234-3,O700234,P10326,1,10.41,0.0,10.36
O700235-1,O700235,P10150,1,35.08,0.0,34.43
O700235-2,O700235,P10235,1,14.67,0.0,14.46
O700235-3,O700235,P10007,1,27.64,0.0,27.46
O700236-1,O700236,P10446,2,14.18,0.15,12.01
O700236-2,O700236,P10115,1,10.53,0.0,10.42
O700236-3,O700236,P10382,1,28.61,0.0,28.3
O700237-1,O700237,P10192,1,31.44,0.0,31.82
O700238-1,O700238,P10068,1,29.32,0.0,29.59
O700238-2,O700238,P10159,2,5.7,0.0,5.67
O700239-1,O700239,P10010,1,18.23,0.0,18.33
O700240-1,O700240,P10381,1,14.26,0.0,14.49
O700241-1,O700241,P10111,1,33.71,0.0,33.52
O700241-2,O700241,P10159,1,5.7,0.1,5.2
O700242-1,O700242,P10100,1,22.59,0.0,22.94
O700243-1,O700243,P10234,3,36.88,0.0,36.48
O700244-1,O700244,P10394,1,11.97,0.05,11.22
O700244-2,O700244,P10247,1,22.66,0.05,21.77
O700245-1,O700245,P10360,1,12.59,0.15,10.55
O700245-2,O700245,P10355,1,18.28,0.15,15.29
O700246-1,O700246,P10303,1,8.48,0.0,8.63
O700247-1,O700247,P10050,1,16.64,0.0,16.56
O700248-1,O700248,P10384,3,6.79,0.0,6.72
O700248-2,O700248,P10118,1,19.26,0.0,19.44
O700249-1,O700249,P10123,2,49.83,0.0,49.86
O700249-2,O700249,P10224,1,6.22,0.0,6.26
O700250-1,O700250,P10240,1,7.87,0.1,7.19
O700250-2,O700250,P10215,2,36.61,0.1,32.95
O700251-1,O700251,P10376,1,28.54,0.1,25.69
O700252-1,O700252,P10197,1,51.01,0.0,51.36
O700253-1,O700253,P10069,2,9.67,0.15,8.14
O700253-2,O700253,P10138,1,21.2,0.0,21.0
O700254-1,O700254,P10198,1,5.52,0.0,5.41
O700254-2,O700254,P10034,1,18.93,0.0,19.07
O700255-1,O700255,P10244,1,16.57,0.0,16.3
O700255-2,O700255,P10303,1,8.48,0.0,8.39
O700256-1,O700256,P10185,1,28.07,0.0,28.34
O700257-1,O700257,P10351,1,16.71,0.2,13.19
O700258-1,O700258,P10148,1,32.94,0.2,26.08
O700258-2,O700258,P10070,1,27.84,0.15,23.59
O700259-1,O700259,P10217,1,12.64,0.0,12.56
O700259-2,O700259,P10196,1,63.94,0.0,62.94
O700260-1,O700260,P10062,1,17.43,0.0,17.31
O700261-1,O700261,P10381,1,14.26,0.0,14.37
O700262-1,O700262,P10388,1,12.77,0.0,12.68
O700263-1,O700263,P10106,2,47.59,0.1,42.62
O700264-1,O700264,P10251,1,8.95,0.0,8.88
O700265-1,O700265,P10188,2,18.74,0.15,15.7
O700266-1,O700266,P10299,1,15.99,0.0,15.75
O700267-1,O700267,P10377,1,19.18,0.2,15.49
O700268-1,O700268,P10223,1,28.62,0.0,28.16
O700269-1,O700269,P10256,1,24.13,0.0,24.35
O700270-1,O700270,P10034,1,18.93,0.0,19.01
O700271-1,O700271,P10390,1,34.56,0.15,29.92
O700271-2,O700271,P10200,2,30.74,0.2,24.63
O700271-3,O700271,P10338,1,26.23,0.2,20.82
O700271-4,O700271,P10009,1,18.93,0.0,19.26
O700272-1,O700272,P10226,1,24.54,0.15,20.52
O700273-1,O700273,P10352,1,17.32,0.0,16.99
O700274-1,O700274,P10073,1,27.92,0.0,28.0
O700275-1,O700275,P10369,3,22.82,0.05,21.35
O700275-2,O700275,P10379,3,25.46,0.05,24.59
O700275-3,O700275,P10320,1,62.18,0.05,58.61
O700275-4,O700275,P10421,2,25.02,0.2,20.19
O700275-5,O700275,P10185,3,28.07,0.05,26.2
O700276-1,O700276,P10230,1,37.06,0.0,37.38
O700276-2,O700276,P10093,2,8.84,0.05,8.47
O700276-3,O700276,P10111,1,33.71,0.0,34.14
O700276-4,O700276,P10076,1,17.16,0.1,15.68
O700277-1,O700277,P10337,2,31.67,0.0,31.96
O700277-2,O700277,P10150,2,35.08,0.0,35.73
O700278-1,O700278,P10245,2,44.07,0.0,44.92
O700278-2,O700278,P10374,3,19.28,0.0,19.42
O700278-3,O700278,P10215,1,36.61,0.0,36.21
O700279-1,O700279,P10163,1,10.85,0.0,10.81
O700279-2,O700279,P10087,1,30.75,0.0,30.47
O700279-3,O700279,P10247,1,22.66,0.0,22.59
O700279-4,O700279,P10353,1,18.13,0.0,18.27
O700280-1,O700280,P10033,1,10.19,0.0,10.22
O700281-1,O700281,P10005,1,10.06,0.0,9.93
O700282-1,O700282,P10005,1,10.06,0.0,10.08
O700283-1,O700283,P10390,2,34.56,0.0,34.44
O700284-1,O700284,P10146,1,24.08,0.0,24.28
O700284-2,O700284,P10197,2,51.01,0.0,50.43
O700285-1,O700285,P10132,1,15.45,0.0,15.4
O700286-1,O700286,P10035,1,14.18,0.0,13.98
O700287-1,O700287,P10308,1,48.65,0.0,49.38
O700287-2,O700287,P10400,2,20.64,0.0,20.41
O700288-1,O700288,P10267,1,25.06,0.0,25.09
O700288-2,O700288,P10176,1,24.38,0.0,24.83
O700289-1,O700289,P10251,2,8.95,0.05,8.45
O700290-1,O700290,P10090,2,29.7,0.2,24.03
O700290-2,O700290,P10227,2,17.46,0.2,14.23
O700290-3,O700290,P10291,1,25.29,0.05,23.89
O700291-1,O700291,P10204,3,11.69,0.05,11.32
O700292-1,O700292,P10005,1,10.06,0.15,8.7
O700293-1,O700293,P10261,1,15.72,0.15,13.46
O700293-2,O700293,P10358,1,18.12,0.2,14.61
O700294-1,O700294,P10310,1,23.18,0.0,22.97
O700295-1,O700295,P10227,1,17.46,0.15,14.64
O700295-2,O700295,P10357,1,20.3,0.15,17.54
O700296-1,O700296,P10438,2,28.3,0.0,28.69
