refund_id,order_id,order_item_id,refund_ts,refund_amount,refund_reason
RC01INHKIXX,O700198,O700198-2,2025-04-02 23:23:37,115.28,return
RPNNQK0GM5F,O700205,O700205-1,2025-10-02 20:47:12,15.43,cancel
RN68BNI976F,O700205,O700205-3,2025-10-03 01:47:12,3.97,cancel
RENM5UN7D00,O700208,O700208-1,2025-07-12 12:53:47,1.46,cancel
R26PSRC4DWC,O700221,O700221-1,2025-11-13 01:31:23,8.77,return
RFFEN1677SN,O700221,O700221-2,2025-11-30 01:31:23,27.96,return
RSUWG6QH713,O700228,O700228-1,2025-05-28 11:40:38,44.16,return
RUVRM28R3XM,O700238,O700238-2,2025-03-08 10:14:28,8.96,return
RQLKH0XZPWN,O700239,O700239-1,2025-09-09 20:31:54,11.87,return
R7PNPFZBPRB,O700265,O700265-1,2025-07-14 08:40:41,31.12,return
RVSZVGGHUGT,O700283,O700283-1,2025-12-04 01:27:21,64.02,return
R0AK6N0XIKU,O700285,O700285-1,2025-03-28 09:29:25,10.71,return
RQ9FXPT6QP0,O700290,O700290-1,2025-11-07 21:58:39,29.94,return
RRTCVMUJP8U,O700290,O700290-2,2025-11-14 21:58:39,19.68,return
RP9FEZIKURG,O700290,O700290-3,2025-11-16 21:58:39,17.02,return
RY6DM5NVA7S,O700296,O700296-2,2025-12-31 03:04:45,14.65,return
RC21073AEEP,O700307,O700307-1,2025-10-04 06:54:59,8.78,cancel
RFNL86O1BXM,O700309,O700309-1,2025-05-09 17:16:14,45.57,cancel
RTN4LL1WOR2,O700312,O700312-1,2025-12-06 04:09:21,18.86,return
RRD86DUDUYM,O700321,O700321-1,2025-02-22 12:46:07,5.96,return
R3VQAL7JMIX,O700322,O700322-3,2025-04-07 21:45:24,8.94,cancel
RMR6SOH7QLH,O700341,O700341-2,2025-10-09 03:56:26,10.01,return
RYM63YWCMHE,O700350,O700350-1,2025-04-04 11:09:54,9.33,return
RUQHBP7PO9S,O700417,O700417-1,2025-02-26 23:35:09,23.19,return
R1N8IFTKF7U,O700417,O700417-2,2025-03-06 23:35:09,59.7,return
RYE3X3HXZMF,O700427,O700427-1,2025-10-17 19:55:42,9.92,return
REGTIZN1TTK,O700428,O700428-1,2025-06-29 00:58:09,9.39,return
RDERU2PCOT0,O700428,O700428-4,2025-07-15 00:58:09,14.8,return
RB65PRL1JRW,O700446,O700446-1,2025-09-19 21:13:27,6.28,return
R0CSB57VVJ0,O700466,O700466-1,2025-06-21 12:27:29,14.82,return
R4ZZ9ZW1Z9Y,O700471,O700471-1,2025-04-02 22:18:59,24.35,return
R9VDX0BNH36,O700487,O700487-1,2025-04-21 20:38:35,3.25,return
RJUKQ22TS2O,O700520,O700520-1,2025-06-06 21:11:19,18.35,return
RJENF0DEZRH,O700520,O700520-2,2025-06-07 21:11:19,40.05,return
RJ0IJLMAEFC,O700526,O700526-1,2025-04-12 11:16:41,7.67,return
R885ITSZAUF,O700526,O700526-2,2025-04-07 11:16:41,4.49,return
R760TKLHLX0,O700531,O700531-3,2025-09-26 05:35:35,38.75,cancel
RDM2KON8U3H,O700537,O700537-1,2025-06-18 17:08:47,21.81,return
R0HXCTYB6GC,O700570,O700570-1,2025-06-16 19:47:25,10.92,cancel
RJ0DG5EBIB9,O700575,O700575-2,2025-10-13 13:03:54,8.53,cancel
RBV5RCR5Y8J,O700576,O700576-1,2025-04-01 18:12:59,18.43,return
RW9DKLWAZJW,O700576,O700576-2,2025-04-11 18:12:59,7.06,return
RT3LHX1JY9D,O700584,O700584-1,2025-10-06 09:13:05,67.68,return
R1BAFTCBHGP,O700592,O700592-1,2025-10-13 11:49:18,12.01,return
R2LWZ6O98Z2,O700592,O700592-2,2025-10-03 11:49:18,50.81,return
RJYZML5MN7D,O700598,O700598-1,2025-07-25 01:10:12,19.61,return
RF31FEC5HTQ,O700605,O700605-1,2025-01-21 01:26:59,21.71,return
RIL5QHGBVSZ,O700611,O700611-1,2025-04-30 06:18:06,32.8,return
R17977YY5L5,O700613,O700613-2,2025-10-03 20:57:46,3.98,cancel
R5Y96BKWH8E,O700630,O700630-1,2025-05-02 08:22:33,10.69,return
RN1H42EL0IH,O700630,O700630-2,2025-04-20 08:22:33,33.27,return
RNWKCUT54EH,O700630,O700630-3,2025-04-27 08:22:33,4.05,return
RAY7U37004H,O700658,O700658-1,2025-02-13 05:13:22,21.68,cancel
RXVM9R66EBK,O700668,O700668-2,2025-03-12 17:25:50,13.94,return
R08DHJG0QG1,O700690,O700690-1,2025-05-17 23:54:32,13.24,return
RT6E5M9X9CQ,O700690,O700690-2,2025-06-04 23:54:32,10.82,return
R1QLQNM6XV9,O700691,O700691-1,2025-10-24 04:54:56,15.97,return
RO4H1IEDOBC,O700691,O700691-2,2025-10-26 04:54:56,14.82,return
RJFZD1LZUP4,O700711,O700711-1,2025-12-14 14:36:54,11.52,return
R3N9F8XG6KH,O700711,O700711-2,2025-12-23 14:36:54,11.52,return
REUI4CJURXI,O700712,O700712-1,2025-08-15 03:40:59,32.28,return
RZ6QL7GDXQ4,O700712,O700712-2,2025-08-10 03:40:59,20.07,return
RX6Y0XVLK23,O700714,O700714-1,2025-10-30 16:26:22,24.65,return
RCI46CKXOL6,O700715,O700715-1,2025-03-11 17:28:21,25.23,cancel
R93Z9QBLZZB,O700716,O700716-1,2025-04-07 11:31:50,10.44,return
R2RRB8SDIFU,O700725,O700725-1,2025-01-03 14:24:12,43.03,return
RUUMTD27ZVD,O700725,O700725-2,2025-01-07 14:24:12,63.26,return
RBRYQPENPDK,O700758,O700758-1,2025-04-20 09:22:30,6.87,cancel
RZ9QNRBZX0W,O700768,O700768-1,2025-05-19 21:15:06,21.05,return
RRGTUH08LV6,O700788,O700788-2,2025-01-09 14:10:20,20.66,cancel
R670NJEGOHM,O700788,O700788-3,2025-01-08 09:10:20,4.57,cancel
R9LO7I8P35A,O700795,O700795-1,2025-02-15 18:38:37,5.83,return
RA8N4Z9WD5V,O700829,O700829-1,2025-08-21 22:49:40,25.14,return
RE822L8UZLN,O700833,O700833-3,2025-02-18 09:31:41,42.2,cancel
RUDTXCY1R4R,O700837,O700837-2,2025-08-26 20:02:24,14.52,return
RQW2BJ6FF07,O700844,O700844-1,2025-09-30 04:28:44,9.54,return
RO9FMKKQ790,O700849,O700849-1,2025-10-08 01:26:21,7.74,cancel
RB0VK8F3XUV,O700865,O700865-1,2025-02-26 00:37:11,9.49,return
R4M6MW6N16C,O700865,O700865-2,2025-03-12 00:37:11,208.02,return
RNBTDQAEBIY,O700865,O700865-3,2025-02-24 00:37:11,17.57,return
R3XML4T5D8K,O700865,O700865-5,2025-02-22 00:37:11,24.02,return
RECDHZV2GWU,O700872,O700872-1,2025-07-19 09:02:28,15.53,return
R6TS15NW3AB,O700872,O700872-2,2025-07-23 09:02:28,25.36,return
RUED3961WLP,O700879,O700879-1,2025-12-18 09:47:32,8.56,cancel
RLW468WZNJN,O700881,O700881-1,2025-08-04 18:33:08,23.93,return
R9SQ49BC6TV,O700900,O700900-1,2025-04-01 08:30:52,12.18,return
RBQSXJ2J4I9,O700900,O700900-2,2025-04-02 08:30:52,10.03,return
RCYL8DUNY2O,O700900,O700900-3,2025-04-21 08:30:52,16.84,return
R2GWH1RETME,O700907,O700907-1,2025-09-12 01:38:28,172.38,return
RYTVGAX0SI9,O700951,O700951-1,2025-11-19 20:36:53,10.24,return
R5KSGV2F8N1,O700951,O700951-2,2025-11-08 20:36:53,9.89,return
RFE6V5NIDD9,O700977,O700977-1,2025-08-20 19:20:59,45.88,return
R85R8IST091,O701029,O701029-2,2025-08-14 05:34:53,64.4,return
RXCY5U4ZODC,O701029,O701029-3,2025-08-18 05:34:53,11.39,return
RQURMO3GD83,O701030,O701030-1,2025-09-21 19:53:49,9.12,return
RX6S2BB6757,O701030,O701030-2,2025-09-14 19:53:49,9.25,return
RERHESXIGZQ,O701035,O701035-1,2025-05-28 18:07:36,11.06,return
RKK2MKLGKEH,O701035,O701035-2,2025-05-20 18:07:36,24.57,return
RYMRT3DLTD2,O701047,O701047-1,2025-10-22 04:59:56,22.12,return
RAKGPPG9I2V,O701047,O701047-2,2025-10-17 04:59:56,10.72,return
RBCD6GPXSZP,O701048,O701048-1,2025-03-03 01:03:16,16.76,return
RIODILH4EBC,O701048,O701048-2,2025-02-27 01:03:16,28.25,return
RJH1Y3ME3CB,O701049,O701049-1,2025-10-10 23:15:13,8.95,return
RCWQLB2WCY4,O701049,O701049-3,2025-10-08 23:15:13,98.54,return
RLOBMI8TI7C,O701051,O701051-1,2025-11-29 21:27:32,17.57,return
RO7OCHE392W,O701059,O701059-1,2025-04-29 10:10:08,17.82,return
R63HCYFE49K,O701063,O701063-1,2025-10-25 22:58:35,10.12,cancel
R3LQ0S52QN3,O701066,O701066-1,2025-02-22 02:58:52,53.09,return
RSS2IQNACZC,O701068,O701068-1,2025-04-16 02:51:06,15.61,return
RO45MPTBGZ7,O701073,O701073-2,2025-02-02 03:31:09,14.12,return
RKO9FCFV0QX,O701073,O701073-3,2025-02-07 03:31:09,10.83,return
RYGFQNR69MH,O701087,O701087-1,2025-04-08 10:24:10,5.73,return
RM9QW3HTD8H,O701091,O701091-1,2025-06-18 09:57:10,9.69,return
RMEJKETIW37,O701111,O701111-1,2025-03-10 09:24:47,9.82,return
ROO8A83O5TK,O701111,O701111-2,2025-03-25 09:24:47,7.64,return
RRQQ6PTIPVP,O701122,O701122-1,2025-04-28 07:04:08,32.26,return
RJUD15COHI6,O701125,O701125-1,2025-06-29 16:13:07,84.93,return
RTFF6VZCR9R,O701128,O701128-1,2025-09-28 21:23:40,10.61,return
R71P2QXYOBO,O701128,O701128-3,2025-09-23 21:23:40,14.55,return
RMFNP2E0BND,O701128,O701128-4,2025-09-27 21:23:40,16.36,return
RR6YW5A50Y1,O701132,O701132-1,2025-06-23 00:39:39,11.65,cancel
RMX74XUTZ7J,O701133,O701133-1,2025-09-29 23:55:22,27.01,return
RMYIRM6NSKI,O701143,O701143-2,2025-09-29 04:37:00,24.22,cancel
RKJ1MNMHCBE,O701145,O701145-1,2025-01-21 16:51:52,7.28,cancel
RUQL27LIH6D,O701154,O701154-1,2025-10-12 18:11:23,39.45,return
R7PKQK1731D,O701155,O701155-1,2025-08-03 14:03:40,23.73,return
R6RZQ0H1C9I,O701156,O701156-1,2025-12-11 22:37:25,38.28,return
RFZK852WB7T,O701185,O701185-1,2025-07-10 20:31:14,13.7,return
RWDNLD6ARW4,O701185,O701185-3,2025-07-20 20:31:14,19.5,return
RN9GYRLO9W0,O701186,O701186-1,2025-03-29 04:31:03,8.82,return
RM5THV1D12C,O701206,O701206-1,2025-10-25 18:12:38,11.49,return
R2PWM0JSIS0,O701217,O701217-1,2025-12-11 22:26:07,26.05,return
R6MPM3LW87O,O701249,O701249-1,2025-03-25 18:04:59,14.83,return
RROE9GHBIKB,O701257,O701257-1,2025-07-02 20:00:18,14.06,return
RUYA687EFYQ,O701280,O701280-1,2025-10-15 08:20:33,13.79,return
RS9VRCGYPCM,O701280,O701280-2,2025-10-04 08:20:33,11.29,return
RDA216YRXM6,O701280,O701280-3,2025-10-09 08:20:33,11.06,return
R0FPM94Q4SX,O701280,O701280-4,2025-10-12 08:20:33,8.4,return
RP08GH61XP5,O701280,O701280-5,2025-10-02 08:20:33,28.44,return
RCUN8IPLYQ1,O701297,O701297-1,2025-03-26 14:01:41,31.31,return
R0VYRG5ASCC,O701297,O701297-2,2025-04-10 14:01:41,13.72,return
R8VLPCNUIGE,O701311,O701311-1,2026-01-15 16:35:52,12.32,return
RJ8B19REDG4,O701311,O701311-2,2026-01-14 16:35:52,22.06,return
RGUTVJTUU8K,O701327,O701327-1,2025-02-27 22:43:47,14.62,return
RT5SYT4DGXZ,O701327,O701327-2,2025-03-09 22:43:47,11.66,return
R5INXV85SLB,O701328,O701328-1,2025-03-20 00:43:11,5.54,cancel
RXPB5M10Z8M,O701333,O701333-1,2025-02-26 13:05:24,7.14,return
RJFTTDP73K5,O701333,O701333-2,2025-03-16 13:05:24,35.46,return
RGSK35HXDOC,O701340,O701340-2,2025-09-06 11:14:52,11.56,return
RFQ82SALJRC,O701340,O701340-3,2025-09-12 11:14:52,13.09,return
R2AFUXAMOI7,O701340,O701340-4,2025-08-30 11:14:52,16.94,return
RR92JSFPV6Q,O701370,O701370-1,2025-06-07 18:24:47,21.37,return
R0RSG5U3HAX,O701378,O701378-1,2025-10-24 09:57:12,22.43,return
RKGGHKHE15I,O701390,O701390-1,2025-07-05 10:59:49,14.87,cancel
RFFB3XO76ZZ,O701396,O701396-2,2025-04-15 14:49:09,13.96,cancel
RI2KV00I3KY,O701409,O701409-1,2026-01-15 22:56:08,11.2,return
R8M22JLTFCS,O701409,O701409-2,2026-01-03 22:56:08,15.82,return
RN86VWPEWB6,O701424,O701424-1,2025-10-20 21:54:28,27.46,return
RHLY9QBW1LX,O701424,O701424-3,2025-10-10 21:54:28,9.57,return
RO1N4WJY1I1,O701435,O701435-1,2025-10-09 19:00:42,70.39,return
R5A27CGLBVC,O701441,O701441-1,2025-06-13 13:34:59,11.04,cancel
RSRKFF29202,O701456,O701456-2,2025-09-12 15:49:06,54.78,return
R66DQ5WB276,O701491,O701491-1,2025-12-15 04:59:37,28.37,return
RV3Y076X6HJ,O701491,O701491-2,2025-12-25 04:59:37,7.92,return
RZ1XED6AWJ4,O701513,O701513-2,2025-06-13 03:37:16,6.86,return
R63GN3JKT1C,O701513,O701513-3,2025-06-13 03:37:16,19.61,return
RAREJAOS6AY,O701516,O701516-1,2025-04-04 15:37:33,30.93,return
R88N7P8RRRZ,O701516,O701516-2,2025-04-21 15:37:33,14.07,return
R0PJJHB0NA7,O701516,O701516-3,2025-04-08 15:37:33,26.14,return
R9AES7K9ET3,O701518,O701518-2,2025-12-08 01:37:08,12.31,return
R33YFTHRUJB,O701518,O701518-3,2025-12-21 01:37:08,14.21,return
RU3S2ZPR38U,O701519,O701519-1,2025-10-13 21:00:36,6.89,return
R4RE6HDE8OM,O701519,O701519-2,2025-10-07 21:00:36,17.25,return
RFEHER45VGE,O701545,O701545-1,2025-12-01 18:07:51,10.93,return
RHDGHO3YXTB,O701560,O701560-1,2025-02-02 17:10:38,10.87,return
RAN0JR4Y6ER,O701561,O701561-1,2025-07-25 19:36:43,42.8,cancel
RM1GWLEDNUD,O701590,O701590-1,2025-08-23 02:45:13,7.72,return
RF551NDT6AV,O701601,O701601-2,2025-01-11 08:51:28,9.1,return
RSBGTSVLUOP,O701615,O701615-1,2025-07-07 17:24:29,9.66,return
R5TMC0PG87X,O701620,O701620-1,2025-06-30 14:49:23,2.04,cancel
R3U50VU2FFO,O701624,O701624-1,2025-04-11 00:00:20,28.51,return
RVLD008AJHC,O701649,O701649-4,2025-03-25 21:19:56,5.27,cancel
R3UT36WDPCS,O701655,O701655-1,2025-08-29 07:17:35,13.59,return
REMBYV6OPB3,O701655,O701655-2,2025-08-23 07:17:35,9.7,return
R1ERJACEN74,O701655,O701655-3,2025-08-27 07:17:35,8.07,return
ROUOTP3WAKG,O701656,O701656-2,2025-12-07 04:23:10,9.48,return
RAG775G45AU,O701656,O701656-3,2025-12-15 04:23:10,13.03,return
RWM6GRTJV9Z,O701661,O701661-1,2025-04-23 06:54:03,25.69,return
RB835E8A4T7,O701701,O701701-1,2025-12-31 09:49:05,2.62,cancel
RMXT7E8188B,O701717,O701717-1,2025-07-28 00:06:44,20.43,return
R7AHU0WU1VZ,O701719,O701719-1,2025-05-22 22:49:09,12.87,return
R58XZUDG5GY,O701719,O701719-2,2025-05-29 22:49:09,8.71,return
RHW5OKHCFAA,O701719,O701719-3,2025-05-19 22:49:09,7.37,return
RSFL5WS8S60,O701719,O701719-4,2025-05-10 22:49:09,35.04,return
R72X8OGIEOT,O701727,O701727-1,2025-03-10 21:25:03,4.39,cancel
RBYD1RK1AW7,O701738,O701738-1,2025-11-05 01:49:06,8.95,return
RWWB0LAEDZ0,O701741,O701741-1,2025-05-23 17:15:49,75.65,return
RS66SZSP271,O701752,O701752-1,2025-03-28 02:03:44,28.4,return
RW755IMX3S1,O701785,O701785-3,2025-04-15 03:44:08,8.88,return
RVKV5CCJC4A,O701785,O701785-4,2025-04-13 03:44:08,13.86,return
R3ZINDXKUBN,O701794,O701794-1,2025-03-05 08:29:11,13.15,return
RZ9NDXHF1FF,O701797,O701797-1,2025-04-05 18:11:00,54.26,return
RDOXGYLTMTG,O701801,O701801-1,2025-10-14 00:17:37,10.3,return
R1PIXGV65FA,O701809,O701809-1,2025-07-19 00:52:34,15.28,return
RJYFCJSK9ZF,O701809,O701809-2,2025-08-05 00:52:34,25.67,return
RWVGGDIYWFZ,O701809,O701809-3,2025-08-03 00:52:34,16.03,return
RNV1R097LW6,O701825,O701825-1,2025-03-30 21:33:44,13.67,return
R8XWBK9J07U,O701826,O701826-2,2025-06-26 09:39:17,19.49,cancel
RDB39ESXFED,O701829,O701829-1,2025-07-01 19:43:16,17.79,return
R6YKXAXLW8B,O701829,O701829-2,2025-06-25 19:43:16,35.25,return
R22J4Y6S7RQ,O701841,O701841-1,2025-07-07 00:28:58,4.04,return
RG94EVNVMMK,O701841,O701841-2,2025-07-03 00:28:58,9.01,return
R6RIEZGI6JX,O701841,O701841-3,2025-07-11 00:28:58,58.02,return
RGQHC3HS3XR,O701875,O701875-1,2025-02-23 11:26:34,30.02,return
RGJPVRZ3RMM,O701875,O701875-2,2025-03-09 11:26:34,20.04,return
R3N8N84VCT1,O701878,O701878-1,2025-03-13 00:22:36,14.24,return
RWK8NR3TQJK,O701881,O701881-1,2025-03-29 12:19:19,17.59,return
RGNZRQ5TECI,O701889,O701889-1,2025-02-08 17:09:36,44.62,return
RSBLVQREHAR,O701899,O701899-1,2025-07-03 05:28:06,15.3,return
R4XJ5K6DXQK,O701940,O701940-1,2025-03-15 17:38:54,66.6,cancel
R7IRV1QYXW0,O701950,O701950-2,2025-08-16 05:28:57,11.23,return
RLKVNKIRH3W,O701959,O701959-1,2026-01-12 19:59:41,35.91,return
RMMKI7TFPKL,O701964,O701964-1,2025-12-20 17:54:38,23.22,return
RF7LDKNJ453,O701964,O701964-2,2025-12-09 17:54:38,12.85,return
RQVYKH67MJG,O701971,O701971-1,2025-06-18 05:28:21,5.49,return
RFOFXSFVLLD,O701983,O701983-2,2025-10-22 15:46:14,39.27,return
RDQLOBIXDBA,O701993,O701993-1,2025-07-28 04:57:42,15.52,return
R847MS2PSRI,O701993,O701993-2,2025-08-10 04:57:42,9.1,return
RCO9DCG5625,O702003,O702003-2,2025-05-20 14:57:35,14.61,return
RUBY5PDDEEU,O702003,O702003-3,2025-05-23 14:57:35,31.96,return
R23BMHUG5N1,O702023,O702023-1,2025-11-28 22:16:46,15.35,return
RB05Q13EQNH,O702037,O702037-1,2025-10-24 16:08:05,10.69,return
RDM6MI47MNS,O702043,O702043-1,2025-01-20 18:45:16,16.16,return
RE0LZ99UPWZ,O702049,O702049-1,2026-01-15 12:55:47,12.43,return
RYAMLRTRKOF,O702063,O702063-1,2025-02-16 01:39:02,22.67,return
RX9Q8OYD79G,O702063,O702063-2,2025-02-11 01:39:02,12.73,return
R6BP4PVIX5K,O702065,O702065-1,2025-07-21 20:00:03,17.1,return
RPYZA54JVR7,O702068,O702068-1,2025-09-13 17:14:53,18.8,return
R29Z8KPEM7P,O702085,O702085-1,2025-12-16 14:21:27,14.96,cancel
R5E7LA6SDP7,O702086,O702086-1,2025-08-24 23:19:00,20.25,return
R8F3R8UD6CG,O702092,O702092-1,2025-03-31 00:24:58,20.94,return
R018L15XP89,O702092,O702092-2,2025-03-28 00:24:58,12.28,return
R7FLUGC8NKM,O702093,O702093-1,2025-11-13 04:12:16,13.89,return
R9DZUKGBRG4,O702093,O702093-3,2025-11-06 04:12:16,20.39,return
R8ZD46VKJ3E,O702106,O702106-1,2025-01-29 12:27:10,7.09,return
RYE5GC1CI1X,O702110,O702110-1,2025-09-05 14:34:40,4.64,cancel
RLZFAYVB9DR,O702132,O702132-1,2025-07-16 13:49:18,24.7,return
R2VHYZC85RS,O702138,O702138-1,2025-04-17 09:22:21,26.5,return
RNW60WJNJUB,O702138,O702138-2,2025-04-09 09:22:21,12.7,return
R87QOKIZLRN,O702141,O702141-2,2025-10-27 05:26:33,23.1,return
RF6IM0C3VFR,O702162,O702162-2,2025-03-21 11:13:05,7.76,cancel
RRY1T81PN1A,O702171,O702171-1,2025-12-21 02:51:49,25.3,return
R9LLCA3UGS2,O702171,O702171-2,2025-12-25 02:51:49,8.17,return
R7O8W9H6BBH,O702171,O702171-3,2025-12-08 02:51:49,10.78,return
RO7CW9CUM6S,O702177,O702177-1,2025-02-17 08:14:19,54.28,return
RUWWJU0C9K7,O702181,O702181-1,2025-06-06 19:10:17,13.47,return
R3PAC7W4387,O702181,O702181-2,2025-06-03 19:10:17,4.41,return
RDWF8M7F2SB,O702181,O702181-3,2025-05-23 19:10:17,20.0,return
R55U959QAYZ,O702188,O702188-2,2025-07-10 09:51:02,44.7,cancel
RPF27Z143C6,O702212,O702212-1,2025-09-20 14:35:17,39.52,return
RNUUU5XUCU7,O702220,O702220-1,2025-10-28 21:10:51,20.21,return
RI5ZSSIRPB3,O702276,O702276-1,2025-07-03 02:16:35,42.15,return
RVIPVNWZVKX,O702276,O702276-2,2025-06-15 02:16:35,160.44,return
R6SZ6O5RYJU,O702287,O702287-1,2025-04-29 17:52:56,12.9,return
RXUUD8WT19F,O702287,O702287-2,2025-05-06 17:52:56,5.95,return
RLUCDRUFD6F,O702287,O702287-3,2025-05-14 17:52:56,24.63,return
RIW6KYNUELF,O702303,O702303-1,2025-11-07 16:21:20,18.38,return
RJEH2JSNG38,O702303,O702303-2,2025-10-21 16:21:20,25.57,return
R7XL8WQM1WT,O702304,O702304-1,2025-10-15 09:19:01,10.58,return
RDMBGMUVZBF,O702304,O702304-2,2025-10-17 09:19:01,11.73,return
RCU1PINWPFF,O702305,O702305-2,2025-08-14 12:58:14,34.8,cancel
RFHYHBIWG7P,O702306,O702306-2,2025-05-20 11:36:41,7.94,cancel
R29LZU3VQVT,O702314,O702314-1,2025-11-29 20:58:46,12.54,cancel
R73N3BYAFB7,O702318,O702318-2,2025-12-01 15:16:17,22.91,return
RNRXGQ3M0RI,O702321,O702321-1,2025-09-02 16:21:46,3.45,cancel
R4MMG7LKIL2,O702327,O702327-1,2025-02-23 06:40:43,22.4,return
RZ40KYFP0YW,O702364,O702364-1,2025-06-25 07:18:29,23.2,return
RVQ7QPAFV2R,O702364,O702364-2,2025-06-30 07:18:29,38.84,return
RHNOB2BLVJW,O702364,O702364-3,2025-06-22 07:18:29,15.77,return
R0BL31JEWMG,O702374,O702374-1,2025-03-31 15:20:40,28.19,return
RGTHOPSNT9W,O702374,O702374-2,2025-03-28 15:20:40,9.33,return
RAJ77C69QFS,O702397,O702397-1,2025-04-22 17:58:52,38.3,return
RUCU0ZJEQKW,O702403,O702403-1,2025-07-22 18:51:59,8.19,return
R6IB204ZGN6,O702403,O702403-2,2025-07-13 18:51:59,45.15,return
RU9MW2WOTCY,O702403,O702403-3,2025-07-09 18:51:59,26.04,return
RLCKSA65MJ0,O702410,O702410-1,2025-11-14 03:57:06,28.89,return
RTNU3SWNHGN,O702433,O702433-1,2025-07-20 12:32:36,44.29,return
RPWDPEKMW2C,O702455,O702455-1,2025-03-30 00:39:02,4.6,cancel
RPXRG5J5JGB,O702474,O702474-1,2025-09-29 17:24:33,26.36,return
R9YV3Z01Q3K,O702474,O702474-2,2025-09-26 17:24:33,29.01,return
R8N5MBM7WEU,O702477,O702477-1,2026-01-01 06:52:48,33.72,return
RFOJJKMAQJ5,O702494,O702494-2,2025-11-02 12:14:59,11.73,cancel
RM2R7SNKYEZ,O702494,O702494-3,2025-11-02 02:14:59,3.81,cancel
RCNS3JMEDQ6,O702526,O702526-1,2025-04-07 01:50:03,17.29,return
R5GNDPVSA3X,O702526,O702526-2,2025-04-19 01:50:03,20.78,return
RNVM0GNAYSJ,O702526,O702526-3,2025-03-29 01:50:03,42.98,return
RA3WMN91UMR,O702532,O702532-1,2026-01-02 15:33:07,24.56,return
R8B90C3VJ0P,O702544,O702544-1,2025-04-18 08:50:55,12.07,return
R4R1YHBQZKC,O702544,O702544-2,2025-04-22 08:50:55,9.21,return
RDQJQZ248WJ,O702546,O702546-1,2025-02-16 02:45:03,11.02,return
RPSGQYM1RLM,O702568,O702568-1,2025-10-11 14:23:54,52.82,return
RUUOOZ7PVYA,O702568,O702568-2,2025-09-22 14:23:54,36.74,return
RE57VMZ19JZ,O702571,O702571-1,2025-01-08 19:02:37,37.26,return
RBB3I6583GQ,O702571,O702571-2,2025-01-07 19:02:37,45.83,return
RFOSORNJOA8,O702580,O702580-1,2026-01-07 08:14:14,5.2,return
R2QG8J23DW5,O702581,O702581-1,2025-01-24 20:04:26,12.48,cancel
RDBXUFXNNMF,O702582,O702582-1,2025-08-10 21:23:45,25.33,return
RCU6PD8707O,O702582,O702582-2,2025-08-10 21:23:45,13.76,return
R2VHPHHY162,O702601,O702601-1,2025-08-12 19:25:05,26.84,return
RW92E301SNU,O702601,O702601-2,2025-08-05 19:25:05,29.95,return
R8LKEJHYV5P,O702611,O702611-1,2025-09-11 11:20:26,4.88,cancel
RM5200Z26KI,O702616,O702616-3,2025-04-19 02:42:11,8.61,cancel
R383F7N8S0W,O702646,O702646-1,2025-12-24 20:26:23,21.75,cancel
RXBMCOPZX6C,O702651,O702651-1,2025-11-21 22:05:17,41.59,return
R7TXRK3O7DC,O702671,O702671-2,2025-02-25 02:02:53,15.96,return
RZN01533PK2,O702685,O702685-1,2026-01-12 22:12:17,15.1,return
RDR0MOVPQ6J,O702685,O702685-2,2026-01-15 22:12:17,19.01,return
